school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
Yeshiva University,Yes,2021,1508,1140.0,1400.0,0.603
Illinois Wesleyan University,Yes,2021,3719,1120.0,1320.0,0.608
Furman University,Yes,All / Permanent Policy,5469,1230.0,1410.0,0.611
University at Buffalo—​SUNY,Yes,2021,29900,1160.0,1340.0,0.611
Concordia College—​Moorhead,Yes,All / Permanent Policy,4160,1080.0,1368.0,0.612
SUNY College of Environmental Science and Forestry,Yes,2021,2018,1120.0,1310.0,0.614
University of Portland,Yes,2021,14505,1160.0,1330.0,0.615
Cornell College,Yes,All / Permanent Policy,3118,1100.0,1345.0,0.618
Muhlenberg College,Yes,All / Permanent Policy,4146,1170.0,1360.0,0.618
Gonzaga University,Yes,2021,9279,1210.0,1358.0,0.619
Beloit College,Yes,All / Permanent Policy,3657,1080.0,1380.0,0.62
Lawrence University,Yes,All / Permanent Policy,3463,1200.0,1430.0,0.621
University of Utah,Yes,2021 2022 2023,24404,1142.5,1380.0,0.621
Allegheny College,Yes,All / Permanent Policy,5208,1170.0,1360.0,0.622
University of Delaware,Yes,2021,27691,1170.0,1350.0,0.624
Westmont College,Yes,2021,2937,1110.0,1370.0,0.624
Luther College,Yes,2021,4422,1050.0,1310.0,0.626
Rutgers The State University of New Jersey—​Newark,Yes,2021,13259,1020.0,1190.0,0.627
Earlham College,Yes,All / Permanent Policy,2070,1100.0,1370.0,0.634
Augustana College,Yes,All / Permanent Policy,6211,1070.0,1280.0,0.636
Wofford College,Yes,All / Permanent Policy,3522,1180.0,1350.0,0.636
New Jersey Institute of Technology,Yes,2021,8123,1190.0,1380.0,0.637
University of Massachusetts—​Amherst,Yes,2021 2022 2023,42157,1190.0,1390.0,0.638
Wabash College,Yes,2021,1307,1120.0,1320.0,0.642
DePauw University,Yes,All / Permanent Policy,4935,1130.0,1360.0,0.644
Drury University,Yes,All / Permanent Policy,1664,1045.0,1225.0,0.644
St. John Fisher College,Yes,2021 2022,4720,1070.0,1260.0,0.645
University of San Francisco,Yes,All / Permanent Policy,18411,1130.0,1330.0,0.6459999999999999
Bard College,Yes,All / Permanent Policy,5141,1248.0,1420.0,0.6459999999999999
Goshen College,Yes,2021,1278,1010.0,1210.0,0.647
Agnes Scott College,Yes,All / Permanent Policy,1751,1130.0,1340.0,0.648
Virginia Polytechnic Institute and State University,Yes,2021,31936,1180.0,1390.0,0.648
University of Houston,Yes,2021,25393,1140.0,1310.0,0.65
University of North Carolina—​Charlotte,Yes,2021,21867,1120.0,1290.0,0.65
Truman State University,Yes (TF),2021,4568,1080.0,1358.0,0.653
University of North Carolina—​Wilmington,Yes,2021,13287,1170.0,1320.0,0.655
SUNY—​Geneseo,Yes,2021,10433,1120.0,1310.0,0.655
Embry-​Riddle Aeronautical University,Yes,All / Permanent Policy,6017,1110.0,1320.0,0.655
University of the Pacific,Yes,All / Permanent Policy,13096,1130.0,1360.0,0.6559999999999999
Rochester Institute of Technology,Yes,All / Permanent Policy,18948,1200.0,1400.0,0.66
Berry College,Yes,All / Permanent Policy,3970,1110.0,1310.0,0.6609999999999999
Mississippi State University,Yes,2021,18269,1070.0,1280.0,0.6629999999999999
Sewanee—​University of the South,Yes,All / Permanent Policy,3545,1150.0,1340.0,0.667
Hanover College,Yes,All / Permanent Policy,7795,1078.0,1300.0,0.669
Coe College,Yes*,All / Permanent Policy,7795,1078.0,1300.0,0.669
Randolph-​Macon College,Yes,2021,2907,1020.0,1240.0,0.6709999999999999
Loyola University Chicago,Yes,All / Permanent Policy,25583,1140.0,1320.0,0.672
University of Vermont,Yes,2021,19233,1180.0,1360.0,0.6729999999999999
San Francisco State University,Yes (TB),2021,34629,940.0,1150.0,0.6729999999999999
Brigham Young University—​Provo,Yes,2021,10500,1210.0,1420.0,0.675
Drake University,Yes,All / Permanent Policy,6944,1100.0,1370.0,0.6759999999999999
Stonehill College,Yes,All / Permanent Policy,6961,1120.0,1290.0,0.677
Elmhurst College,Yes,2021,4175,990.0,1210.0,0.6779999999999999
Taylor University,Yes,All / Permanent Policy,2341,1080.0,1310.0,0.6809999999999999
DePaul University,Yes,All / Permanent Policy,26895,1070.0,1290.0,0.682
Knox College,Yes,All / Permanent Policy,3397,1090.0,1350.0,0.6829999999999999
Hofstra University,Yes,All / Permanent Policy,24425,1160.0,1340.0,0.685
Ithaca College,Yes,All / Permanent Policy,15278,1160.0,1338.0,0.685
California State University--San Bernardino,Yes (TB),2021,16307,910.0,1090.0,0.6859999999999999
University of South Carolina,Yes,2021,31268,1180.0,1370.0,0.6859999999999999
Albion College,Yes,2021,4043,990.0,1200.0,0.688
Presbyterian College (SC),Yes,All / Permanent Policy,2462,1010.0,1210.0,0.688
Texas Tech University,Yes,2021,25384,1070.0,1260.0,0.6890000000000001
Ohio Wesleyan University,Yes,All / Permanent Policy,4705,1060.0,1295.0,0.69
Ripon College,Yes,All / Permanent Policy,2619,1000.0,1210.0,0.69
Drew University,Yes,All / Permanent Policy,3788,1110.0,1310.0,0.6920000000000001
Gustavus Adolphus College,Yes,All / Permanent Policy,4957,,,0.6920000000000001
Central Michigan,Yes,2021,16411,990.0,1200.0,0.695
Oklahoma State University,Yes,2021,15277,1040.0,1265.0,0.7
Bradley University,Yes,All / Permanent Policy,10708,1070.0,1270.0,0.7020000000000001
Seton Hall University,Yes,2021,19260,1150.0,1310.0,0.7040000000000001
